,death_prob,rep_prob,cancer_prob,guide,init_cells,run,before,after,nj,cassiopeia,reassign_delta,nj_delta
78,0.2,0.75,0.001,mmm,1,0,0.977,0.967,0.98,0.9794801641586868,-0.010000000000000009,0.013000000000000012
79,0.2,0.75,0.001,mmm,1,1,0.988,0.777,0.774,0.9865671641791045,-0.21099999999999997,-0.0030000000000000027
80,0.2,0.75,0.001,mmm,1,2,0.962,0.986,0.989,0.982521847690387,0.02400000000000002,0.0030000000000000027
81,0.2,0.75,0.001,mmf,1,0,0.947,0.86,0.863,0.9624161073825503,-0.08699999999999997,0.0030000000000000027
82,0.2,0.75,0.001,mmf,1,1,0.935,0.884,0.892,0.9589905362776026,-0.051000000000000045,0.008000000000000007
83,0.2,0.75,0.001,mmf,1,2,0.967,0.935,0.952,0.9624413145539906,-0.03199999999999992,0.016999999999999904
84,0.2,0.75,0.001,mff,1,0,0.96,0.976,0.981,0.9532293986636972,0.016000000000000014,0.0050000000000000044
85,0.2,0.75,0.001,mff,1,1,0.857,0.873,0.904,0.9535864978902954,0.016000000000000014,0.031000000000000028
86,0.2,0.75,0.001,mff,1,2,0.974,0.931,0.946,0.8779661016949153,-0.04299999999999993,0.014999999999999902
87,0.2,0.75,0.001,fff,1,0,0.977,0.982,0.994,0.9621212121212122,0.0050000000000000044,0.01200000000000001
88,0.2,0.75,0.001,fff,1,1,0.942,0.928,0.931,0.9947643979057592,-0.013999999999999901,0.0030000000000000027
89,0.2,0.75,0.001,fff,1,2,0.733,0.709,0.749,0.9688581314878892,-0.02400000000000002,0.040000000000000036
90,0.2,0.75,0.01,sss,1,0,0.736,0.761,0.743,0.6357786357786358,0.025000000000000022,-0.018000000000000016
91,0.2,0.75,0.01,sss,1,1,0.864,0.784,0.778,0.5289514866979655,-0.07999999999999996,-0.006000000000000005
92,0.2,0.75,0.01,sss,1,2,0.982,0.964,0.961,0.9140767824497258,-0.018000000000000016,-0.0030000000000000027
93,0.2,0.75,0.01,ssm,1,0,0.939,0.981,0.974,0.9680555555555556,0.04200000000000004,-0.007000000000000006
94,0.2,0.75,0.01,ssm,1,1,0.962,0.964,0.972,0.9533333333333334,0.0020000000000000018,0.008000000000000007
95,0.2,0.75,0.01,ssm,1,2,0.966,0.957,0.968,0.8834355828220859,-0.009000000000000008,0.01100000000000001
96,0.2,0.75,0.01,smm,1,0,0.923,0.93,0.927,0.9244505494505495,0.007000000000000006,-0.0030000000000000027
97,0.2,0.75,0.01,smm,1,1,0.904,0.94,0.919,0.9140328697850821,0.03599999999999992,-0.020999999999999908
98,0.2,0.75,0.01,smm,1,2,0.921,0.94,0.959,0.7825503355704698,0.018999999999999906,0.019000000000000017
99,0.2,0.75,0.01,ssf,1,1,0.875,0.906,0.891,0.7928802588996764,0.031000000000000028,-0.015000000000000013
100,0.2,0.75,0.01,ssf,1,2,0.893,0.836,0.838,0.6897081413210445,-0.05700000000000005,0.0020000000000000018
101,0.2,0.75,0.01,smf,1,0,0.967,0.945,0.947,0.8584474885844748,-0.02200000000000002,0.0020000000000000018
102,0.2,0.75,0.01,smf,1,1,0.965,0.983,0.97,0.8481203007518797,0.018000000000000016,-0.013000000000000012
103,0.2,0.75,0.01,smf,1,2,0.974,0.886,0.881,0.9865671641791045,-0.08799999999999997,-0.0050000000000000044
104,0.2,0.75,0.01,sff,1,0,0.788,0.736,0.77,0.995,-0.052000000000000046,0.03400000000000003
